recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,treatment,uplift_score
9,2) $100 - $200,151.14,1,0,Surburban,0,Phone,Mens E-Mail,1,1,90.15,1,0.69
5,4) $350 - $500,429.66,0,1,Rural,0,Multichannel,Mens E-Mail,1,1,99.89,1,0.68
9,3) $200 - $350,253.68,0,1,Rural,0,Multichannel,Mens E-Mail,1,1,84.05,1,0.68
2,4) $350 - $500,492.73,0,1,Surburban,0,Multichannel,Mens E-Mail,1,1,92.24,1,0.68
10,1) $0 - $100,37.6,1,0,Surburban,0,Web,Mens E-Mail,1,1,181.39,1,0.68
8,2) $100 - $200,188.27,0,1,Rural,0,Phone,Mens E-Mail,1,1,137.27,1,0.68
1,4) $350 - $500,419.62,1,1,Surburban,0,Multichannel,Mens E-Mail,1,1,57.73,1,0.67
6,4) $350 - $500,430.65,1,1,Urban,0,Multichannel,Mens E-Mail,1,1,73.81,1,0.67
1,3) $200 - $350,216.47,0,1,Urban,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.67
1,4) $350 - $500,393.37,0,1,Surburban,0,Phone,Mens E-Mail,1,1,29.99,1,0.67
4,2) $100 - $200,161.46,1,0,Urban,0,Web,Mens E-Mail,1,1,60.62,1,0.67
9,4) $350 - $500,360.66,1,0,Surburban,0,Multichannel,Mens E-Mail,1,1,257.51,1,0.67
10,2) $100 - $200,169.64,0,1,Surburban,0,Web,Mens E-Mail,1,1,359.97,1,0.67
1,4) $350 - $500,358.34,1,0,Urban,0,Phone,Mens E-Mail,1,1,29.99,1,0.67
1,1) $0 - $100,75.85,0,1,Rural,0,Web,Mens E-Mail,1,1,29.99,1,0.67
4,2) $100 - $200,172.92,0,1,Urban,0,Web,Mens E-Mail,1,1,155.75,1,0.67
11,1) $0 - $100,45.36,1,0,Rural,0,Phone,Mens E-Mail,1,1,29.99,1,0.67
8,3) $200 - $350,321.26,1,0,Urban,0,Multichannel,Mens E-Mail,1,1,32.21,1,0.67
3,3) $200 - $350,297.9,1,1,Surburban,0,Web,Mens E-Mail,1,1,393.43,1,0.67
3,2) $100 - $200,144.35,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.66
2,3) $200 - $350,237.92,0,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.66
2,4) $350 - $500,421.74,0,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.66
1,1) $0 - $100,64.7,0,1,Rural,0,Web,Mens E-Mail,1,1,97.27,1,0.66
9,3) $200 - $350,269.65,0,1,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.66
9,4) $350 - $500,355.17,0,1,Urban,0,Phone,Mens E-Mail,1,1,29.99,1,0.66
5,3) $200 - $350,349.59,1,1,Surburban,0,Phone,Mens E-Mail,1,1,120.14,1,0.66
4,4) $350 - $500,363.76,1,0,Surburban,0,Web,Mens E-Mail,1,1,72.41,1,0.66
10,3) $200 - $350,248.41,1,1,Surburban,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.66
3,3) $200 - $350,324.4,1,0,Surburban,0,Phone,Mens E-Mail,1,1,43.49,1,0.66
9,4) $350 - $500,440.72,1,0,Surburban,0,Multichannel,Mens E-Mail,1,1,60.97,1,0.66
8,2) $100 - $200,196.48,0,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.66
1,3) $200 - $350,239.11,0,1,Urban,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.66
9,1) $0 - $100,82.12,1,0,Urban,0,Phone,Mens E-Mail,1,1,50.0,1,0.66
5,2) $100 - $200,178.06,1,0,Surburban,0,Phone,Mens E-Mail,1,1,159.54,1,0.66
3,2) $100 - $200,144.35,0,1,Surburban,0,Web,Mens E-Mail,1,1,397.32,1,0.66
2,1) $0 - $100,50.39,1,0,Urban,0,Web,Mens E-Mail,1,1,499.0,1,0.66
4,3) $200 - $350,342.91,1,0,Urban,0,Phone,Mens E-Mail,1,1,85.4,1,0.66
2,4) $350 - $500,359.23,1,0,Urban,0,Multichannel,Mens E-Mail,1,1,133.89,1,0.65
2,1) $0 - $100,80.44,0,1,Surburban,0,Phone,Mens E-Mail,1,1,204.08,1,0.65
2,3) $200 - $350,215.61,1,0,Rural,0,Web,Mens E-Mail,1,1,99.49,1,0.65
1,3) $200 - $350,265.69,0,1,Rural,0,Web,Mens E-Mail,1,1,95.77,1,0.65
9,3) $200 - $350,228.59,0,1,Surburban,0,Web,Mens E-Mail,1,1,44.14,1,0.65
9,3) $200 - $350,288.23,0,1,Surburban,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.65
6,2) $100 - $200,177.3,1,0,Surburban,0,Phone,Mens E-Mail,1,1,69.05,1,0.65
9,3) $200 - $350,304.79,0,1,Rural,0,Web,Mens E-Mail,1,1,116.1,1,0.65
4,3) $200 - $350,302.72,1,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.65
3,2) $100 - $200,159.22,1,0,Rural,0,Phone,Mens E-Mail,1,1,75.52,1,0.65
2,3) $200 - $350,202.17,0,1,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.65
12,1) $0 - $100,36.67,0,1,Urban,0,Web,Mens E-Mail,1,1,195.83,1,0.6432020202020202
3,4) $350 - $500,427.13,0,1,Surburban,0,Web,Mens E-Mail,1,1,95.29,1,0.64
3,4) $350 - $500,356.82,1,1,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.64
2,3) $200 - $350,253.54,1,0,Surburban,0,Web,Mens E-Mail,1,1,342.64,1,0.64
3,1) $0 - $100,99.16,0,1,Urban,0,Phone,Mens E-Mail,1,1,46.38,1,0.64
7,3) $200 - $350,340.69,0,1,Surburban,0,Phone,Mens E-Mail,1,1,192.64,1,0.64
3,1) $0 - $100,72.07,1,0,Surburban,0,Phone,Mens E-Mail,1,1,117.5,1,0.64
12,3) $200 - $350,256.16,0,1,Urban,0,Web,Mens E-Mail,1,1,36.82,1,0.64
4,4) $350 - $500,416.46,0,1,Surburban,0,Phone,Mens E-Mail,1,1,190.74,1,0.64
2,3) $200 - $350,242.13,1,0,Rural,0,Phone,Mens E-Mail,1,1,96.42,1,0.64
4,2) $100 - $200,166.68,1,0,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.64
1,1) $0 - $100,33.87,1,0,Urban,0,Phone,Mens E-Mail,1,1,29.99,1,0.64
9,3) $200 - $350,212.05,0,1,Surburban,0,Phone,Mens E-Mail,1,1,29.99,1,0.64
7,4) $350 - $500,453.52,1,1,Surburban,0,Phone,Mens E-Mail,1,1,112.94,1,0.64
1,3) $200 - $350,308.57,1,0,Urban,0,Web,Mens E-Mail,1,1,66.76,1,0.64
2,4) $350 - $500,389.37,1,0,Urban,0,Phone,Mens E-Mail,1,1,49.21,1,0.64
2,4) $350 - $500,378.5,0,1,Urban,0,Web,Mens E-Mail,1,1,80.58,1,0.64
6,1) $0 - $100,93.58,0,1,Rural,0,Web,Mens E-Mail,1,1,219.81,1,0.63
7,2) $100 - $200,147.99,1,0,Urban,0,Phone,Mens E-Mail,1,1,116.09,1,0.63
1,1) $0 - $100,74.54,1,0,Rural,0,Phone,Mens E-Mail,1,1,32.99,1,0.63
3,2) $100 - $200,106.14,0,1,Rural,0,Phone,Mens E-Mail,1,1,188.95,1,0.63
10,3) $200 - $350,304.63,1,1,Surburban,0,Phone,Mens E-Mail,1,1,191.63,1,0.63
1,1) $0 - $100,73.3,0,1,Urban,0,Phone,Mens E-Mail,1,1,60.65,1,0.63
4,1) $0 - $100,73.55,1,0,Urban,0,Web,Mens E-Mail,1,1,85.21,1,0.62
9,2) $100 - $200,174.57,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.62
9,1) $0 - $100,52.34,1,0,Urban,0,Phone,Mens E-Mail,1,1,90.36,1,0.62
9,4) $350 - $500,497.55,0,1,Surburban,0,Web,Mens E-Mail,1,1,346.64,1,0.62
7,1) $0 - $100,99.55,0,1,Rural,0,Phone,Mens E-Mail,1,1,153.09,1,0.62
6,3) $200 - $350,260.39,0,1,Urban,0,Phone,Mens E-Mail,1,1,29.99,1,0.62
9,3) $200 - $350,288.48,0,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0,0,0.62
10,3) $200 - $350,347.6,1,1,Rural,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.62
4,1) $0 - $100,59.03,0,1,Urban,0,Web,Mens E-Mail,1,1,62.9,1,0.62
7,4) $350 - $500,351.41,0,1,Surburban,0,Multichannel,Mens E-Mail,1,1,152.35,1,0.62
5,4) $350 - $500,477.28,1,1,Urban,0,Multichannel,Mens E-Mail,1,1,341.0,1,0.62
1,4) $350 - $500,465.8,1,0,Surburban,0,Web,Mens E-Mail,1,1,29.99,1,0.62
10,4) $350 - $500,380.72,0,1,Surburban,0,Web,Mens E-Mail,1,1,33.32,1,0.61
1,3) $200 - $350,245.63,1,1,Urban,0,Phone,Mens E-Mail,1,1,67.33,1,0.61
1,3) $200 - $350,252.82,1,1,Surburban,0,Phone,Mens E-Mail,1,1,176.88,1,0.61
1,3) $200 - $350,233.7,1,0,Urban,0,Phone,Mens E-Mail,1,1,215.54,1,0.61
4,2) $100 - $200,182.85,0,1,Rural,0,Web,Mens E-Mail,1,1,91.76,1,0.61
3,3) $200 - $350,346.88,1,1,Urban,0,Phone,Mens E-Mail,1,1,482.31,1,0.61
3,3) $200 - $350,256.23,1,0,Rural,0,Multichannel,Mens E-Mail,1,1,30.24,1,0.6000000000000001
6,3) $200 - $350,288.62,0,1,Urban,0,Multichannel,Mens E-Mail,1,1,102.84,1,0.6
3,2) $100 - $200,125.78,0,1,Urban,0,Phone,Mens E-Mail,1,1,29.99,1,0.6
3,2) $100 - $200,158.75,0,1,Surburban,0,Web,Mens E-Mail,1,1,316.08,1,0.6
2,4) $350 - $500,496.21,1,1,Surburban,0,Multichannel,Mens E-Mail,1,1,385.28,1,0.6
7,3) $200 - $350,281.73,1,1,Urban,0,Phone,Mens E-Mail,1,1,228.71,1,0.6
4,2) $100 - $200,173.78,0,1,Urban,0,Web,No E-Mail,0,0,0.0,0,0.6
10,1) $0 - $100,95.76,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.6
8,2) $100 - $200,170.27,0,1,Surburban,0,Phone,Mens E-Mail,1,1,29.99,1,0.59
1,2) $100 - $200,189.49,1,0,Urban,0,Phone,Mens E-Mail,1,1,29.99,1,0.59
1,1) $0 - $100,60.83,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.59
2,3) $200 - $350,266.18,1,0,Urban,0,Web,Mens E-Mail,1,1,62.12,1,0.59
7,2) $100 - $200,147.85,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.59
9,1) $0 - $100,83.91,0,1,Rural,0,Web,Mens E-Mail,1,1,38.12,1,0.59
10,3) $200 - $350,237.92,1,0,Urban,0,Phone,Mens E-Mail,1,1,69.71,1,0.59
1,2) $100 - $200,174.19,0,1,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.59
2,3) $200 - $350,289.96,1,1,Urban,0,Multichannel,Mens E-Mail,1,1,79.91,1,0.58
2,1) $0 - $100,87.86,0,1,Urban,0,Web,No E-Mail,0,0,0.0,0,0.58
2,3) $200 - $350,240.17,1,1,Rural,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.58
1,4) $350 - $500,486.48,1,0,Urban,0,Web,Mens E-Mail,1,1,32.51,1,0.58
12,3) $200 - $350,223.86,1,1,Surburban,0,Phone,Mens E-Mail,1,1,61.06,1,0.58
7,2) $100 - $200,167.92,0,1,Surburban,0,Phone,Mens E-Mail,1,1,91.59,1,0.57
3,4) $350 - $500,406.71,0,1,Surburban,0,Web,Mens E-Mail,1,1,43.84,1,0.57
2,1) $0 - $100,71.05,1,0,Urban,0,Phone,Mens E-Mail,1,1,60.81,1,0.57
12,1) $0 - $100,37.57,0,1,Surburban,0,Phone,Mens E-Mail,1,1,99.02,1,0.56
10,2) $100 - $200,197.87,1,0,Urban,0,Web,Mens E-Mail,1,1,120.91,1,0.56
10,1) $0 - $100,43.64,0,1,Surburban,0,Web,Mens E-Mail,1,1,421.17,1,0.56
12,4) $350 - $500,382.96,1,1,Urban,0,Multichannel,Mens E-Mail,1,1,43.9,1,0.56
2,1) $0 - $100,88.38,0,1,Urban,0,Web,No E-Mail,0,0,0.0,0,0.56
7,3) $200 - $350,200.53,0,1,Rural,0,Web,Mens E-Mail,1,1,159.46,1,0.56
5,4) $350 - $500,478.31,1,1,Urban,0,Multichannel,No E-Mail,1,0,0.0,0,0.54
4,3) $200 - $350,247.92,1,0,Urban,0,Web,Mens E-Mail,1,1,29.99,1,0.5399999999999999
3,1) $0 - $100,99.13,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.53
2,4) $350 - $500,409.09,0,1,Rural,0,Web,Mens E-Mail,1,1,348.12,1,0.53
9,1) $0 - $100,83.98,0,1,Rural,0,Web,No E-Mail,1,0,0.0,0,0.53
2,1) $0 - $100,80.16,0,1,Surburban,0,Phone,No E-Mail,1,0,0.0,0,0.52
4,3) $200 - $350,326.55,1,0,Surburban,0,Web,Mens E-Mail,1,1,33.13,1,0.52
6,1) $0 - $100,95.54,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.52
1,1) $0 - $100,73.58,1,0,Rural,0,Phone,No E-Mail,0,0,0.0,0,0.51
2,4) $350 - $500,425.85,1,1,Surburban,0,Multichannel,Mens E-Mail,1,1,29.99,1,0.51
6,4) $350 - $500,405.44,1,0,Surburban,0,Phone,Mens E-Mail,1,1,169.47,1,0.51
10,3) $200 - $350,305.02,1,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.5
3,3) $200 - $350,323.02,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.5
3,2) $100 - $200,161.22,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.49
1,3) $200 - $350,251.61,1,0,Urban,0,Web,Mens E-Mail,1,1,256.05,1,0.48999999999999994
1,1) $0 - $100,67.34,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.48
1,4) $350 - $500,357.01,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.48
7,3) $200 - $350,346.9,1,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.48
9,3) $200 - $350,289.77,0,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0,0,0.48
5,3) $200 - $350,301.42,1,1,Surburban,0,Phone,Mens E-Mail,1,1,29.99,1,0.47
6,3) $200 - $350,260.15,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.47
1,2) $100 - $200,194.43,1,0,Urban,0,Phone,No E-Mail,1,0,0.0,0,0.47
2,4) $350 - $500,351.12,0,1,Rural,0,Web,No E-Mail,1,0,0.0,0,0.45
3,4) $350 - $500,413.0,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.44
10,3) $200 - $350,308.55,1,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.44
1,1) $0 - $100,32.67,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.44
1,4) $350 - $500,350.68,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.44
1,4) $350 - $500,353.55,1,0,Urban,0,Phone,No E-Mail,1,0,0.0,0,0.44
3,4) $350 - $500,355.47,1,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.44
1,1) $0 - $100,82.07,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.43
1,3) $200 - $350,254.9,1,0,Urban,0,Web,No E-Mail,1,0,0.0,0,0.43
1,3) $200 - $350,256.39,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.43
2,3) $200 - $350,259.62,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.43
2,4) $350 - $500,350.06,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.42000000000000004
4,3) $200 - $350,329.59,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.42
2,4) $350 - $500,492.51,0,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0,0,0.42
9,4) $350 - $500,352.42,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.42
10,3) $200 - $350,245.94,1,1,Surburban,0,Multichannel,No E-Mail,1,0,0.0,0,0.42
1,3) $200 - $350,251.34,1,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.41
4,2) $100 - $200,110.35,1,0,Rural,0,Web,No E-Mail,0,0,0.0,0,0.4
7,2) $100 - $200,170.77,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.4
9,3) $200 - $350,211.61,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.4
8,2) $100 - $200,170.96,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.4
7,3) $200 - $350,285.43,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.4
1,1) $0 - $100,60.05,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.39
5,3) $200 - $350,349.22,1,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.39
6,3) $200 - $350,259.45,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.39
4,1) $0 - $100,78.12,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.38
10,1) $0 - $100,43.84,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.38
2,3) $200 - $350,293.93,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0,0,0.38
1,4) $350 - $500,361.96,1,0,Urban,0,Multichannel,No E-Mail,0,0,0.0,0,0.38
2,4) $350 - $500,410.92,0,1,Rural,0,Web,No E-Mail,1,0,0.0,0,0.37
3,4) $350 - $500,350.36,1,1,Surburban,0,Web,No E-Mail,1,0,0.0,0,0.37
3,2) $100 - $200,159.76,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.37
12,3) $200 - $350,238.79,0,1,Urban,0,Web,No E-Mail,1,0,0.0,0,0.36
10,3) $200 - $350,201.38,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.36
9,3) $200 - $350,274.15,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.36
1,3) $200 - $350,332.18,1,1,Urban,0,Web,No E-Mail,0,0,0.0,0,0.35
9,4) $350 - $500,357.85,0,1,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.35
2,4) $350 - $500,418.46,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.34
4,3) $200 - $350,324.39,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.34
2,3) $200 - $350,294.18,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0,0,0.34
9,1) $0 - $100,83.87,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.34
4,1) $0 - $100,76.04,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.33
4,3) $200 - $350,324.59,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.33
1,3) $200 - $350,331.19,1,1,Urban,0,Web,No E-Mail,0,0,0.0,0,0.32
9,3) $200 - $350,285.02,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.32
4,1) $0 - $100,80.23,0,1,Rural,0,Web,Mens E-Mail,1,0,0.0,1,0.32
10,4) $350 - $500,499.67,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.31
6,1) $0 - $100,90.05,0,1,Rural,0,Web,No E-Mail,0,0,0.0,0,0.31
3,3) $200 - $350,320.12,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.3
2,1) $0 - $100,70.45,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.3
3,4) $350 - $500,401.92,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.29
6,3) $200 - $350,257.54,0,1,Urban,0,Phone,No E-Mail,1,0,0.0,0,0.29
1,4) $350 - $500,497.34,1,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0,0,0.28
6,2) $100 - $200,176.79,1,0,Surburban,0,Phone,No E-Mail,1,0,0.0,0,0.28
10,3) $200 - $350,238.08,1,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0,0,0.28
2,1) $0 - $100,81.45,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.28
9,3) $200 - $350,228.83,0,1,Surburban,0,Web,Mens E-Mail,1,0,0.0,1,0.27
10,3) $200 - $350,258.49,1,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0,0,0.27
1,4) $350 - $500,364.95,1,0,Urban,0,Phone,Mens E-Mail,0,0,0.0,1,0.27
2,4) $350 - $500,492.86,0,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0,1,0.27
2,3) $200 - $350,202.9,0,1,Surburban,0,Web,No E-Mail,1,0,0.0,0,0.27
2,3) $200 - $350,226.37,1,0,Rural,0,Web,No E-Mail,0,0,0.0,0,0.26
9,2) $100 - $200,168.02,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.26
4,2) $100 - $200,182.73,0,1,Rural,0,Web,Mens E-Mail,1,0,0.0,1,0.26
5,4) $350 - $500,476.43,0,1,Rural,0,Multichannel,No E-Mail,1,0,0.0,0,0.26
8,2) $100 - $200,148.09,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.26
1,1) $0 - $100,73.96,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,1,0.26
8,2) $100 - $200,173.75,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0,1,0.26
7,3) $200 - $350,273.76,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.25
2,2) $100 - $200,106.01,0,1,Rural,0,Phone,No E-Mail,0,0,0.0,0,0.25
2,1) $0 - $100,79.69,0,1,Rural,0,Web,No E-Mail,1,0,0.0,0,0.25
10,2) $100 - $200,107.03,1,0,Surburban,0,Web,Mens E-Mail,0,0,0.0,1,0.25
1,4) $350 - $500,420.05,1,1,Surburban,0,Multichannel,Mens E-Mail,0,0,0.0,1,0.25
2,2) $100 - $200,106.11,0,1,Rural,0,Phone,No E-Mail,0,0,0.0,0,0.25
1,2) $100 - $200,172.9,0,1,Urban,0,Web,No E-Mail,1,0,0.0,0,0.25
1,1) $0 - $100,75.67,0,1,Rural,0,Web,Mens E-Mail,0,0,0.0,1,0.24999999999999997
3,3) $200 - $350,234.92,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.24
10,3) $200 - $350,241.84,1,0,Urban,0,Phone,No E-Mail,0,0,0.0,0,0.24
3,3) $200 - $350,200.98,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.24
11,1) $0 - $100,43.51,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.24
1,3) $200 - $350,341.32,1,1,Urban,0,Web,Mens E-Mail,1,0,0.0,1,0.24
2,4) $350 - $500,359.76,1,0,Urban,0,Multichannel,Mens E-Mail,0,0,0.0,1,0.24
3,3) $200 - $350,294.38,1,1,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.24
9,2) $100 - $200,169.06,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.24
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,1,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,1,1,44.7,1,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,0,0.23780158730158724
12,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0,0,0.0,1,0.23780158730158724
10,2) $100 - $200,104.99,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.23
11,3) $200 - $350,202.14,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.23
4,4) $350 - $500,355.96,1,1,Surburban,0,Web,No E-Mail,1,0,0.0,0,0.23
10,2) $100 - $200,105.12,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.23
10,2) $100 - $200,105.4,1,0,Surburban,0,Web,No E-Mail,0,0,0.0,0,0.23
6,2) $100 - $200,181.91,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,0,0.23
7,3) $200 - $350,253.38,0,1,Rural,0,Multichannel,No E-Mail,0,0,0.0,0,0.23
1,3) $200 - $350,245.35,1,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,1,0.22
6,4) $350 - $500,452.96,1,1,Surburban,0,Phone,No E-Mail,1,0,0.0,0,0.22
