recency,history,zip_code,channel,newbie,uplift_score
1,61.08,Rural,Web,0,0.62
1,482.28,Surburban,Multichannel,0,0.62
10,169.19,Urban,Phone,0,0.62
6,1039.2,Urban,Web,1,0.62
11,444.85,Surburban,Phone,0,0.62
9,40.35,Rural,Web,1,0.61
2,645.59,Urban,Multichannel,1,0.61
2,186.32,Surburban,Phone,1,0.61
3,583.97,Surburban,Phone,1,0.61
1,249.17,Urban,Phone,0,0.61
1,607.33,Urban,Web,1,0.61
10,88.37,Urban,Phone,0,0.61
3,164.88,Urban,Phone,1,0.61
9,268.71,Surburban,Multichannel,0,0.61
1,397.96,Rural,Phone,1,0.61
4,819.31,Urban,Web,1,0.61
11,152.6,Rural,Web,1,0.61
3,334.23,Urban,Phone,0,0.61
7,153.87,Urban,Phone,1,0.61
1,1216.65,Surburban,Web,1,0.61
2,585.7,Urban,Web,1,0.61
12,132.46,Surburban,Web,0,0.61
10,132.93,Surburban,Web,0,0.6
3,524.93,Rural,Web,1,0.6
9,62.0,Urban,Web,0,0.6
10,132.95,Surburban,Web,0,0.6
1,185.07,Surburban,Phone,0,0.6
2,384.2,Surburban,Web,0,0.6
9,256.84,Surburban,Web,1,0.6
6,1034.31,Urban,Web,1,0.6
6,177.84,Surburban,Web,0,0.6
11,167.39,Surburban,Web,0,0.59
1,173.28,Surburban,Phone,0,0.59
9,111.69,Urban,Phone,1,0.59
1,954.65,Surburban,Multichannel,1,0.58
3,158.21,Surburban,Phone,0,0.58
1,615.14,Urban,Multichannel,1,0.58
3,438.68,Urban,Multichannel,0,0.58
1,1551.66,Surburban,Multichannel,1,0.58
9,111.49,Urban,Phone,1,0.58
1,911.82,Surburban,Phone,1,0.58
1,525.38,Surburban,Phone,1,0.58
1,548.0,Surburban,Phone,1,0.58
1,122.16,Rural,Phone,1,0.57
1,570.46,Surburban,Web,1,0.57
9,184.63,Surburban,Web,0,0.57
2,630.78,Urban,Phone,1,0.56
1,101.99,Surburban,Web,0,0.56
2,582.83,Urban,Web,1,0.56
10,169.15,Surburban,Web,0,0.56
4,297.67,Rural,Web,0,0.5599999999999999
2,503.9,Urban,Multichannel,1,0.5599999999999999
1,528.32,Surburban,Phone,1,0.55
9,256.75,Surburban,Web,1,0.55
1,649.73,Surburban,Multichannel,1,0.55
11,287.23,Rural,Multichannel,0,0.55
12,96.36,Urban,Web,0,0.55
10,255.22,Urban,Phone,1,0.55
2,565.12,Surburban,Multichannel,1,0.5499999999999999
2,467.1,Surburban,Web,0,0.5499999999999999
1,171.88,Surburban,Web,1,0.54
1,774.14,Urban,Multichannel,1,0.54
2,53.09,Urban,Phone,1,0.53
1,533.66,Urban,Phone,1,0.53
1,736.56,Urban,Multichannel,1,0.53
1,96.92,Urban,Phone,0,0.53
6,159.83,Urban,Web,1,0.53
5,385.13,Surburban,Multichannel,0,0.52
1,202.57,Surburban,Multichannel,0,0.51
5,495.82,Surburban,Web,0,0.5
2,38.28,Surburban,Web,1,0.5
1,1322.67,Rural,Phone,1,0.5
9,109.04,Rural,Web,1,0.5
2,50.13,Surburban,Phone,1,0.49
2,385.24,Surburban,Web,0,0.49
1,95.09,Urban,Phone,0,0.48
2,186.77,Surburban,Phone,1,0.48
1,568.23,Surburban,Web,1,0.48
1,773.73,Urban,Multichannel,1,0.47
12,137.42,Surburban,Web,0,0.47
1,79.5,Surburban,Web,0,0.47
4,429.35,Surburban,Phone,0,0.47
2,650.29,Urban,Multichannel,1,0.47
1,616.27,Urban,Multichannel,1,0.47
1,523.22,Surburban,Phone,1,0.46
1,523.15,Surburban,Phone,1,0.46
1,60.05,Rural,Web,0,0.46
1,102.23,Surburban,Web,0,0.45
10,169.63,Urban,Phone,0,0.45
1,77.94,Rural,Phone,1,0.45
1,635.64,Urban,Multichannel,1,0.45
1,562.87,Surburban,Web,1,0.45
1,947.13,Surburban,Multichannel,1,0.44
12,128.42,Surburban,Web,0,0.44
4,298.75,Urban,Phone,0,0.44
1,102.33,Surburban,Web,0,0.44
8,407.24,Urban,Multichannel,0,0.44
1,235.47,Urban,Web,1,0.44
9,171.43,Rural,Web,0,0.44
10,107.15,Surburban,Web,1,0.43
4,828.77,Urban,Web,1,0.43
4,835.4,Urban,Web,1,0.43
2,272.45,Urban,Web,1,0.42
2,585.13,Urban,Web,1,0.42
2,50.83,Surburban,Phone,1,0.41
3,542.93,Surburban,Phone,1,0.41
9,111.17,Urban,Phone,1,0.41
3,542.97,Surburban,Phone,1,0.41
2,717.55,Surburban,Multichannel,1,0.41
10,168.5,Urban,Phone,0,0.41
1,1191.99,Surburban,Web,1,0.4
5,371.13,Surburban,Multichannel,1,0.4
1,1188.11,Surburban,Web,1,0.4
2,281.36,Surburban,Web,0,0.4
3,313.37,Rural,Web,0,0.4
3,301.41,Rural,Web,0,0.39
1,79.8,Rural,Phone,1,0.39
1,184.28,Surburban,Phone,0,0.39
10,202.22,Rural,Phone,0,0.39
2,853.02,Urban,Web,1,0.39
2,498.12,Urban,Web,0,0.38999999999999996
1,634.53,Urban,Multichannel,1,0.38
1,1180.17,Surburban,Web,1,0.38
8,34.52,Urban,Phone,1,0.38
10,170.47,Surburban,Web,0,0.38
3,538.89,Surburban,Phone,1,0.37
1,80.12,Rural,Phone,1,0.37
5,187.38,Urban,Phone,1,0.37
3,820.13,Rural,Web,1,0.37
9,34.77,Surburban,Web,0,0.37
5,42.43,Surburban,Web,0,0.36
1,388.61,Urban,Multichannel,0,0.36
1,1170.85,Surburban,Web,1,0.36
6,108.62,Rural,Web,1,0.36
1,116.01,Rural,Phone,1,0.35
9,183.38,Surburban,Web,0,0.35
5,188.78,Urban,Phone,1,0.35
12,465.37,Rural,Multichannel,1,0.34
8,198.43,Urban,Web,1,0.34
10,105.47,Surburban,Web,1,0.34
4,1103.46,Surburban,Phone,1,0.33999999999999997
11,166.32,Surburban,Web,0,0.33
1,84.71,Rural,Phone,1,0.33
1,490.84,Urban,Multichannel,0,0.33
1,940.87,Surburban,Multichannel,1,0.33
2,594.84,Urban,Web,1,0.33
6,1096.22,Urban,Web,1,0.32
1,657.63,Urban,Multichannel,1,0.32
1,208.76,Urban,Web,1,0.32
7,29.99,Rural,Phone,1,0.3130833333333332
7,29.99,Rural,Phone,1,0.3130833333333332
7,29.99,Rural,Phone,1,0.3130833333333332
7,29.99,Rural,Phone,1,0.3130833333333332
7,29.99,Rural,Phone,1,0.3130833333333332
10,90.97,Urban,Web,1,0.31
7,157.88,Urban,Phone,1,0.31
4,74.34,Surburban,Web,1,0.31
8,34.25,Urban,Phone,1,0.31
9,55.03,Surburban,Phone,0,0.3
5,49.1,Rural,Web,0,0.3
10,129.78,Surburban,Web,0,0.3
10,129.49,Surburban,Web,0,0.3
5,48.34,Rural,Web,0,0.3
9,55.32,Surburban,Phone,0,0.3
7,153.17,Urban,Phone,1,0.29
2,601.11,Urban,Web,1,0.29
2,601.74,Urban,Web,1,0.29
4,291.15,Rural,Web,0,0.29
4,442.72,Surburban,Phone,0,0.28
2,283.42,Surburban,Web,0,0.28
10,165.47,Rural,Phone,0,0.28
2,613.42,Urban,Web,1,0.28
9,35.77,Surburban,Web,0,0.28
2,478.69,Surburban,Web,0,0.28
2,275.57,Urban,Web,1,0.28
1,255.66,Urban,Web,1,0.28
5,42.22,Rural,Web,0,0.27
1,905.64,Surburban,Phone,1,0.27
3,948.12,Surburban,Multichannel,1,0.27
1,71.61,Surburban,Web,0,0.27
2,52.21,Urban,Phone,1,0.27
3,848.27,Urban,Web,1,0.27
6,1021.88,Surburban,Multichannel,1,0.26
6,175.95,Urban,Phone,0,0.26
2,53.16,Urban,Phone,1,0.26
8,74.96,Urban,Phone,0,0.26
1,407.48,Urban,Multichannel,0,0.26
3,281.77,Surburban,Web,0,0.26
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
11,29.99,Urban,Web,0,0.2548063603063603
3,603.58,Surburban,Phone,1,0.25
8,521.96,Urban,Web,1,0.25
5,206.15,Surburban,Phone,0,0.25
2,282.43,Urban,Web,1,0.25
3,282.11,Surburban,Web,0,0.25
9,192.17,Rural,Web,0,0.25
8,520.98,Urban,Web,1,0.25
9,170.35,Rural,Web,0,0.25
1,1864.31,Rural,Phone,1,0.24000000000000002
7,191.69,Rural,Web,0,0.24
1,543.83,Surburban,Phone,1,0.24
4,449.21,Surburban,Phone,0,0.24
4,306.87,Urban,Phone,0,0.24
4,70.88,Surburban,Web,1,0.24
1,482.75,Urban,Multichannel,0,0.24
9,36.55,Surburban,Web,0,0.23
9,197.55,Surburban,Web,0,0.23
10,169.92,Rural,Phone,0,0.23
7,508.67,Urban,Web,1,0.23
12,151.9,Rural,Web,1,0.23
9,36.69,Surburban,Web,0,0.23
2,611.69,Urban,Web,1,0.23
3,836.06,Urban,Web,1,0.23
5,168.74,Urban,Web,1,0.23
12,137.31,Surburban,Web,1,0.23
4,1506.93,Rural,Multichannel,1,0.22
1,532.98,Urban,Phone,1,0.22
10,268.81,Surburban,Multichannel,0,0.22
9,290.75,Surburban,Web,0,0.22
1,605.37,Urban,Web,1,0.22
5,142.38,Rural,Phone,0,0.22
4,143.77,Urban,Phone,0,0.22
2,96.49,Urban,Phone,0,0.22
3,43.74,Surburban,Web,0,0.22
1,606.07,Urban,Web,1,0.22
4,66.56,Rural,Web,0,0.22
7,287.14,Urban,Phone,0,0.22
10,268.44,Surburban,Multichannel,0,0.22
1,85.17,Surburban,Phone,0,0.22
4,70.39,Surburban,Web,1,0.22
9,40.75,Rural,Web,1,0.21
6,819.19,Urban,Web,1,0.21
12,200.85,Rural,Phone,0,0.21
2,96.72,Urban,Phone,0,0.21
4,426.91,Surburban,Phone,0,0.21
1,552.34,Surburban,Phone,1,0.21
1,498.65,Urban,Multichannel,0,0.21
4,520.0,Rural,Web,1,0.21
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
4,29.99,Rural,Web,0,0.20652417027417017
7,34.98,Surburban,Web,0,0.2
9,199.3,Urban,Web,1,0.2
6,89.21,Rural,Phone,0,0.2
8,193.44,Rural,Web,0,0.2
12,54.61,Surburban,Phone,0,0.2
1,749.56,Urban,Multichannel,1,0.2
4,509.45,Urban,Web,1,0.2
1,75.79,Surburban,Phone,1,0.2
10,613.08,Urban,Web,1,0.2
2,180.61,Rural,Phone,0,0.2
1,75.68,Surburban,Phone,1,0.2
10,92.58,Urban,Web,1,0.2
10,52.39,Rural,Phone,0,0.2
10,108.09,Surburban,Web,1,0.2
1,204.6,Surburban,Multichannel,1,0.2
4,312.2,Urban,Phone,0,0.2
12,211.0,Urban,Phone,0,0.2
2,50.6,Surburban,Web,0,0.2
1,101.26,Surburban,Web,0,0.19999999999999998
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
5,29.99,Urban,Web,0,0.19398290598290602
1,550.39,Surburban,Phone,1,0.19
9,61.71,Urban,Web,0,0.19
12,256.57,Urban,Phone,1,0.19
3,439.26,Urban,Multichannel,0,0.19
1,551.21,Surburban,Phone,1,0.19
9,532.93,Rural,Phone,1,0.19
2,188.36,Surburban,Phone,1,0.19
1,84.96,Surburban,Phone,0,0.19
6,269.5,Surburban,Multichannel,1,0.19
11,170.3,Surburban,Web,0,0.19
4,793.22,Urban,Web,1,0.19
12,94.35,Urban,Phone,1,0.19
1,549.99,Surburban,Phone,1,0.19
1,647.72,Urban,Multichannel,1,0.19
12,1033.92,Urban,Phone,1,0.19
1,170.13,Surburban,Web,1,0.19
2,204.55,Surburban,Web,0,0.19
2,1014.86,Surburban,Multichannel,1,0.19
9,37.16,Surburban,Web,0,0.19
2,52.52,Urban,Phone,1,0.18
1,75.14,Surburban,Web,0,0.18
4,210.05,Surburban,Phone,0,0.18
2,97.11,Urban,Phone,0,0.18
2,52.53,Urban,Phone,1,0.18
3,736.2,Rural,Web,1,0.18
1,176.12,Surburban,Web,1,0.18
6,184.26,Surburban,Web,0,0.18
2,52.31,Urban,Phone,1,0.18
1,100.79,Surburban,Web,0,0.18
4,51.38,Rural,Web,0,0.18
1,650.18,Urban,Multichannel,1,0.18
1,72.93,Surburban,Phone,1,0.18
3,742.55,Rural,Multichannel,1,0.18
2,179.99,Rural,Phone,0,0.18
3,730.4,Surburban,Multichannel,1,0.18
2,1281.93,Rural,Phone,1,0.18
3,280.98,Surburban,Multichannel,0,0.18
9,103.96,Rural,Web,1,0.18
1,504.67,Urban,Multichannel,1,0.18
1,484.83,Surburban,Multichannel,0,0.17
9,265.65,Surburban,Multichannel,1,0.17
7,509.71,Urban,Web,1,0.17
1,483.85,Surburban,Multichannel,0,0.17
4,549.21,Urban,Multichannel,1,0.17
1,1104.57,Surburban,Web,1,0.17
2,807.72,Urban,Web,1,0.17
6,1047.42,Urban,Multichannel,1,0.17
10,268.21,Urban,Multichannel,0,0.17
2,47.69,Rural,Phone,0,0.17
12,205.03,Urban,Phone,0,0.17
4,510.36,Rural,Web,1,0.17
9,34.92,Urban,Phone,1,0.17
9,435.2,Urban,Multichannel,0,0.17
2,47.28,Rural,Phone,0,0.17
7,111.7,Urban,Phone,1,0.17
1,186.6,Surburban,Phone,1,0.17
10,137.49,Surburban,Web,1,0.17
11,291.5,Rural,Multichannel,0,0.17
2,40.24,Surburban,Web,1,0.17
4,49.66,Rural,Web,0,0.17
8,265.61,Urban,Multichannel,0,0.17
6,177.12,Surburban,Web,0,0.17
9,276.01,Surburban,Multichannel,0,0.17
1,284.82,Surburban,Multichannel,0,0.16999999999999998
1,528.1,Urban,Phone,1,0.16
2,47.93,Surburban,Phone,1,0.16
5,165.7,Urban,Web,1,0.16
1,98.96,Urban,Phone,0,0.16
2,51.13,Urban,Phone,1,0.16
1,582.11,Urban,Web,1,0.16
7,295.07,Urban,Phone,0,0.16
1,1264.71,Surburban,Phone,1,0.16
5,46.83,Surburban,Web,1,0.16
6,62.18,Urban,Web,0,0.16
11,457.74,Surburban,Phone,0,0.16
2,758.23,Urban,Web,1,0.16
11,161.64,Rural,Phone,0,0.16
1,527.82,Urban,Phone,1,0.16
4,303.12,Rural,Web,0,0.16
2,429.69,Surburban,Phone,0,0.16
3,138.86,Surburban,Web,1,0.16
1,98.49,Urban,Phone,0,0.16
1,178.43,Surburban,Web,1,0.16
2,794.47,Urban,Web,1,0.16
2,139.24,Surburban,Web,1,0.16
1,966.24,Surburban,Multichannel,1,0.16
2,785.38,Urban,Web,1,0.16
3,712.21,Surburban,Multichannel,1,0.16
10,509.78,Urban,Web,1,0.16
1,179.04,Surburban,Web,1,0.16
1,740.37,Urban,Web,1,0.16
2,641.55,Urban,Multichannel,1,0.16
2,795.23,Urban,Web,1,0.16
5,1464.01,Rural,Multichannel,1,0.16
2,915.69,Surburban,Phone,1,0.16
1,1085.17,Surburban,Web,1,0.16
11,461.14,Surburban,Phone,0,0.16
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
3,29.99,Urban,Web,1,0.15953665778665774
5,379.45,Surburban,Multichannel,0,0.15000000000000002
5,1245.74,Rural,Phone,1,0.15
12,150.24,Rural,Web,1,0.15
1,62.16,Rural,Web,0,0.15
1,524.37,Urban,Phone,1,0.15
1,522.4,Urban,Phone,1,0.15
1,387.3,Rural,Phone,1,0.15
10,46.73,Urban,Web,0,0.15
7,30.76,Urban,Web,0,0.15
1,75.37,Rural,Phone,1,0.15
7,194.81,Urban,Web,1,0.15
9,106.77,Urban,Web,0,0.15
8,276.65,Urban,Phone,0,0.15
10,310.48,Urban,Phone,1,0.15
2,1552.79,Surburban,Multichannel,1,0.15
1,607.3,Urban,Multichannel,1,0.15
2,40.65,Surburban,Web,1,0.15
8,276.91,Urban,Phone,0,0.15
1,1250.43,Surburban,Web,1,0.15
10,284.59,Surburban,Web,0,0.15
1,524.17,Urban,Phone,1,0.15
9,190.55,Rural,Web,0,0.15
2,41.55,Surburban,Web,1,0.15
2,41.14,Surburban,Web,1,0.15
2,569.69,Urban,Web,1,0.15
9,1011.13,Urban,Web,1,0.15
5,1036.16,Surburban,Web,1,0.15
5,196.35,Urban,Phone,1,0.15
1,206.05,Surburban,Web,0,0.15
3,612.74,Urban,Web,1,0.15
3,431.87,Surburban,Phone,0,0.15
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
4,29.99,Urban,Web,0,0.14861594107646733
2,571.75,Urban,Web,1,0.14
1,115.55,Rural,Phone,1,0.14
5,58.18,Rural,Web,0,0.14
1,109.61,Rural,Phone,1,0.14
2,562.6,Urban,Web,1,0.14
6,186.1,Surburban,Web,0,0.14
3,71.77,Surburban,Web,1,0.14
5,183.21,Urban,Phone,1,0.14
8,392.99,Urban,Multichannel,1,0.14
2,388.36,Surburban,Web,0,0.14
11,168.3,Urban,Phone,0,0.14
1,497.61,Surburban,Multichannel,0,0.14
2,385.04,Surburban,Multichannel,0,0.14
1,575.27,Surburban,Web,1,0.14
9,175.3,Rural,Web,0,0.14
1,607.61,Urban,Multichannel,1,0.14
3,266.31,Surburban,Phone,0,0.14
10,88.13,Urban,Phone,0,0.14
10,195.8,Urban,Web,1,0.14
2,1328.26,Rural,Phone,1,0.14
1,1146.87,Surburban,Web,1,0.14
9,288.48,Surburban,Multichannel,0,0.14
2,560.87,Urban,Web,1,0.14
2,741.26,Surburban,Multichannel,1,0.14
11,137.98,Surburban,Web,1,0.14
3,846.28,Rural,Web,1,0.14
6,910.27,Surburban,Multichannel,1,0.14
4,33.63,Urban,Web,1,0.14
1,176.09,Surburban,Phone,0,0.13
1,641.21,Urban,Phone,1,0.13
1,481.39,Surburban,Multichannel,0,0.13
1,608.38,Urban,Multichannel,1,0.13
5,55.83,Rural,Web,0,0.13
2,52.27,Surburban,Phone,1,0.13
2,1380.22,Rural,Phone,1,0.13
5,1022.34,Surburban,Phone,1,0.13
2,54.19,Surburban,Phone,1,0.13
1,60.86,Rural,Web,1,0.13
6,607.99,Urban,Web,1,0.13
1,909.21,Surburban,Multichannel,1,0.13
2,661.58,Urban,Multichannel,1,0.13
2,954.99,Surburban,Phone,1,0.13
2,661.33,Urban,Multichannel,1,0.13
1,497.48,Urban,Web,0,0.13
1,613.91,Urban,Web,1,0.13
10,281.95,Surburban,Web,0,0.13
5,47.26,Urban,Web,0,0.13
10,32.66,Urban,Phone,1,0.13
7,403.94,Urban,Multichannel,0,0.13
2,32.85,Urban,Web,1,0.13
2,660.49,Urban,Multichannel,1,0.13
1,668.07,Urban,Multichannel,1,0.13
9,1085.63,Urban,Phone,1,0.13
6,1190.08,Urban,Phone,1,0.13
4,75.29,Surburban,Web,1,0.13
9,254.61,Surburban,Web,1,0.13
10,52.14,Rural,Phone,0,0.13
1,748.13,Urban,Multichannel,1,0.13
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
2,29.99,Rural,Web,0,0.1260954323454323
7,403.01,Urban,Multichannel,0,0.12000000000000001
4,1013.73,Surburban,Phone,1,0.12000000000000001
2,54.64,Surburban,Phone,1,0.12
1,1816.16,Urban,Web,1,0.12
10,101.85,Urban,Web,0,0.12
1,69.1,Surburban,Web,0,0.12
6,437.85,Urban,Multichannel,0,0.12
7,87.99,Urban,Web,0,0.12
1,1500.19,Surburban,Multichannel,1,0.12
3,290.52,Surburban,Web,0,0.12
8,43.67,Surburban,Web,0,0.12
3,286.85,Surburban,Multichannel,0,0.12
1,753.68,Urban,Multichannel,1,0.12
